date,temp,pressure,altitude,sealevel_pressure
2015-06-25 15:07:37.174400,29.3,101637,-25.77702663150249,101637.0
2015-06-25 15:08:37.290769,29.3,101642,-26.524440444924807,101640.0
2015-06-25 15:09:37.406928,29.3,101643,-25.943123221173487,101637.0
2015-06-25 15:10:37.523022,29.3,101644,-25.77702663150249,101637.0
2015-06-25 15:11:37.638969,29.3,101634,-26.441397111922523,101637.0
2015-06-25 15:12:37.755075,29.3,101637,-25.527876784709992,101626.0
2015-06-25 15:13:37.817112,29.3,101623,-25.44482551244777,101625.0
2015-06-25 15:14:37.933191,29.3,101629,-25.19566772555866,101635.0
2015-06-25 15:15:38.049267,29.3,101628,-25.19566772555866,101628.0
2015-06-25 15:16:38.125113,29.3,101638,-25.693977344217668,101634.0
2015-06-25 15:17:38.241312,29.3,101631,-25.44482551244777,101638.0
2015-06-25 15:18:38.358250,29.3,101628,-25.02955922572798,101626.0
2015-06-25 15:19:38.474672,29.3,101623,-24.697334285103796,101622.0
2015-06-25 15:20:38.591265,29.3,101637,-25.278720982886867,101629.0
2015-06-25 15:21:38.707676,29.3,101629,-25.19566772555866,101626.0
2015-06-25 15:22:38.809118,29.3,101622,-25.02955922572798,101623.0
2015-06-25 15:23:38.881117,29.3,101622,-25.19566772555866,101641.0
2015-06-25 15:24:38.997225,29.3,101628,-24.697334285103796,101629.0
2015-06-25 15:25:39.113266,29.3,101631,-25.02955922572798,101626.0
2015-06-25 15:26:39.229461,29.3,101629,-25.77702663150249,101631.0
2015-06-25 15:27:39.345537,29.3,101629,-25.278720982886867,101634.0
2015-06-25 15:28:39.461644,29.4,101628,-25.278720982886867,101625.0
2015-06-25 15:29:39.577732,29.4,101626,-24.946503983215663,101628.0
2015-06-25 15:30:39.693809,29.4,101626,-24.780391512908494,101631.0
2015-06-25 15:31:39.809122,29.3,101620,-25.44482551244777,101626.0
2015-06-25 15:32:39.925203,29.4,101637,-24.780391512908494,101623.0
2015-06-25 15:33:39.989132,29.3,101631,-25.44482551244777,101628.0
2015-06-25 15:34:40.105226,29.3,101628,-24.946503983215663,101623.0
2015-06-25 15:35:40.221276,29.4,101632,-25.44482551244777,101625.0
